-3.47,6.44,-0.19,-4.96,3.67,0.25
-3.12,5.8,0.23,-6.5,4.15,-0.7
-3.1,6.42,0.14,-6.31,4.37,-0.61
-4.97,6.78,-1.57,-6.32,4.64,-0.56
-6.2,5.18,0.07,-6.75,4.17,-0.49
-5.06,3.97,0.23,-5.5,4.36,-0.21
-4.49,4.63,0.11,-6.66,4.74,-0.76
-4.45,5.69,0.02,-6.68,4.91,-0.36
-5.18,6.51,-0.22,-5.77,4.85,-1.05
-5.44,7.11,-0.61,-6.19,4.46,-0.72
-5.67,6.34,-0.52,-6.61,4.06,-0.87
-5.44,6.45,-0.16,-6.46,4.39,-0.54
-4.87,6.33,-0.84,-6.98,3.06,-0.88
-4.49,6.78,0.09,-6.88,2.93,-0.56
-4.48,4.75,0.79,-6.7,3.36,-0.3
-5.15,5.33,-0.66,-5.81,3.33,-0.08
-6.08,6.3,0.05,-6.36,3.82,-0.76
-5.37,6.74,-0.36,-5.3,4.0,-0.48
-5.34,7.12,-0.64,-5.35,3.9,0.19
-5.31,6.67,-0.7,-5.08,5.27,-0.72
-5.47,6.93,-0.09,-5.72,3.69,0.11
-5.34,6.9,-0.42,-5.53,4.71,-0.36
-5.03,6.18,0.07,-5.16,4.5,-0.1
-5.64,6.05,0.47,-6.09,4.53,-0.51
-5.94,6.56,0.07,-5.75,4.19,-0.53
-5.52,6.71,-0.44,-5.45,4.03,-0.45
-5.34,6.1,-0.59,-4.94,3.93,-0.49
-4.67,5.97,-0.26,-5.28,3.63,-0.27
-4.71,5.92,-0.17,-5.12,3.36,-0.19
-4.62,5.71,0.11,-4.56,4.29,0.16
-4.68,6.55,0.13,-4.29,3.12,0.66
-5.15,6.2,-0.38,-4.28,4.09,-0.13
-4.17,5.98,-0.23,-4.61,3.8,0.12
-4.71,6.76,-0.26,-4.46,3.55,-0.04
-4.49,6.73,-0.32,-5.91,3.75,-0.66
-5.23,6.16,-0.33,-5.98,4.8,-0.52
-4.71,5.98,-0.48,-6.06,5.02,-0.97
-4.5,6.23,-0.73,-5.79,4.02,-0.8
-4.22,5.37,0.4,-5.59,4.35,-0.59
-4.49,4.79,0.42,-5.45,3.92,-0.24
